gene	module	Rg	ReproScore
NCOR1	3	0.15031397954775697	0.6095481670929241
NCOR2	1	0.048425648574090006	0.6381074168797954
NCSTN	1	0.03307529870602208	0.5319693094629155
NDC80	3	0.28482393701863007	0.6176470588235294
NDUFB9	3	0.19240350738335874	0.7016197783461211
NFE2L2	2	0.028216509496718944	0.5618073316283035
NFKB2	2	0.5794499621632856	0.8840579710144928
NFKBIA	2	0.22189297972511915	0.701619778346121
NONO	8	-0.11088064184549834	0.4497016197783461
NOTCH1	4	-0.21213344571763293	0.4254049445865303
NPM1	2	0.3484380633582156	0.7463768115942029
NUF2	3	-0.04959723687633996	0.4279624893435635
NUMA1	1	-0.03586593622853801	0.4620630861040068
NUP98	1	0.2797211788203528	0.783461210571185
NXF1	4	0.020029645842052714	0.4676044330775788
OFD1	2	0.15491707959951118	0.6125319693094629
PABPC1	2	0.1528726614782314	0.5937766410912191
PAIP1	5	-0.19983965868656145	0.2907075873827792
PAK1	1	0.2776977565878571	0.5980392156862745
PARD6B	2	-0.1454021633950458	0.42838874680306904
PARP1	3	0.4298747594476434	0.8158567774936061
PBRM1	6	-0.18098426412762664	0.4633418584825234
PCM1	2	0.3382718804240038	0.7949701619778347
PDCD6	4	-0.36422176961511255	0.37425404944586527
PDS5B	2	0.382873086933026	0.8849104859335039
PHC2	1	0.4690748196617378	0.8593350383631714
PIGA	4	0.22792139173905573	0.6768968456947997
PLCG2	4	0.18285628343128935	0.6466325660699063
PML	1	0.21402906902457108	0.7523444160272805
PNN	6	-0.024333558344702348	0.4927536231884058
POLD1	2	0.2629063736518601	0.7195225916453538
POLR2A	8	-0.11204948525653277	0.3465473145780051
PPP2R1A	1	0.07293772615423186	0.5924978687127025
PPP2R2A	2	-0.13785272025029588	0.4484228473998295
PPP4R2	4	0.1008125202750635	0.5835464620630861
PPP6C	2	0.2722220480951839	0.6423699914748509
PPP6R2	1	0.07691021757306636	0.6121057118499573
PRKCI	1	0.30464221067069275	0.7327365728900256
PRKDC	3	0.02266456905080761	0.5890878090366581
PRPF8	1	0.1635697454613958	0.6739130434782609
PRRX1	2	0.4597962250005668	0.8964194373401535
PSIP1	2	0.28421261785918184	0.711849957374254
PSMB2	1	0.34433746492936723	0.8635976129582268
PTEN	1	-0.01243760079064618	0.4833759590792839
PTPN2	2	0.3696158493486309	0.8158567774936062
RABEP1	1	0.2792182949870671	0.7885763000852515
RAC1	2	0.5031164991932597	0.8000852514919011
RAD21	1	-0.07220012707426846	0.3998294970161978
RAD50	7	0.06463015744132766	0.48721227621483376
RAD51B	6	0.126921722487274	0.6453537936913896
RAD51C	2	0.40196760954618094	0.8103154305200341
RAF1	4	-0.14094145047488943	0.46930946291560105
RAP1B	1	0.1437263497363923	0.5545609548167093
RB1	3	0.10675382455375992	0.5601023017902813
RBMX	2	0.4128266478644754	0.6581415174765558
REL	2	0.010920767698514414	0.5225916453537937
RELA	2	0.005414803514345472	0.5366581415174766
REST	2	-0.17143216654655738	0.25277067348678606
RHOA	1	-0.027496277970446018	0.5004262574595055
RICTOR	4	-0.04644275512069694	0.3930093776641091
RNF43	3	0.32320478136381536	0.8473998294970162
ROCK1	3	0.42315119463093614	0.7595907928388747
RPL10	2	0.00995213750940474	0.572463768115942
RPL22	2	0.1165766777075053	0.5861040068201193
RPL5	2	0.20710371603852207	0.7412617220801364
RPN1	1	-0.1420088007593014	0.37638533674339303
RPS15	2	-0.09641776349251117	0.5076726342710998
RPS27	4	0.1059147443449424	0.5707587382779199
RUNX1	1	0.2044259337982014	0.6764705882352942
RXRA	1	0.4025287377713406	0.7791986359761296
RYBP	4	0.0672199106041469	0.5225916453537937
SDC4	3	0.07245042194921937	0.623614663256607
SDHA	6	0.06069215482306824	0.5843989769820972
SEPT9	1	0.12441710478278414	0.6513213981244672
SET	1	0.3403998046526136	0.8111679454390452
SF3B1	2	-0.13829815646087487	0.4164535379369139
SF3B2	2	0.12172040770316943	0.5997442455242967
SFPQ	3	0.23784599506742665	0.7127024722932651
SIN3A	1	-0.09081018271878666	0.4288150042625746
