gene,Rg,Rg_mean,n_pairs_computable,ReproScore,R_self,frac_pairs,empirical_p,evt_p,evt_method,evt_n_exc,evt_xi,evt_gof_p,empirical_FDR,evt_FDR,shuffle_p,shuffle_FDR,shuffle_FDR_low_power,atlas_member,strength_tier
GNAS,0.1981675938508642,0.1869596670519955,6,0.7101449275362319,0.1869596670519955,0,0.1008991008991009,0.1008991008991009,empirical,NA,NA,NA,0.21038535932152955,0.21038535932152955,0.1008991008991009,0.21038535932152955,FALSE,FALSE,not_member
TRAK1,0.19581858351660053,0.22355704769959764,6,0.7182438192668371,0.22355704769959764,0.16666666666666666,0.14085914085914086,0.14085914085914086,empirical,NA,NA,NA,0.2623037340018472,0.2623037340018472,0.14085914085914086,0.2623037340018472,FALSE,FALSE,not_member
XRCC1,0.19571386512734465,0.2682665223751573,6,0.7246376811594203,0.2682665223751573,0,0.13186813186813187,0.13186813186813187,empirical,NA,NA,NA,0.25339366515837103,0.25339366515837103,0.13186813186813187,0.25339366515837103,FALSE,FALSE,not_member
EPS15,0.1932858613881659,0.2254220577104873,6,0.6713554987212276,0.2254220577104873,0.16666666666666666,0.24375624375624375,0.24375624375624375,empirical,NA,NA,NA,0.38842458354653475,0.38842458354653475,0.24375624375624375,0.38842458354653475,FALSE,FALSE,not_member
NDUFB9,0.19240350738335874,0.1769535496955329,6,0.7016197783461211,0.1769535496955329,0,0.0979020979020979,0.0979020979020979,empirical,NA,NA,NA,0.21038535932152955,0.21038535932152955,0.0979020979020979,0.21038535932152955,FALSE,FALSE,not_member
MAP2K3,0.19152982486437758,0.19470925308744116,6,0.7416879795396419,0.19470925308744116,0.16666666666666666,0.017982017982017984,0.017982017982017984,empirical,NA,NA,NA,0.07266959844279432,0.07920169717922527,0.017982017982017984,0.07920169717922527,FALSE,FALSE,not_member
SRSF1,0.1894165954520839,0.2211706754319841,6,0.696078431372549,0.2211706754319841,0.16666666666666666,0.14185814185814186,0.14185814185814186,empirical,NA,NA,NA,0.2623037340018472,0.2623037340018472,0.14185814185814186,0.2623037340018472,FALSE,FALSE,not_member
SQSTM1,0.18684665488496954,0.23760875403165274,6,0.7591645353793691,0.23760875403165274,0,0.07992007992007992,0.07992007992007992,empirical,NA,NA,NA,0.18428630193336074,0.18428630193336074,0.07992007992007992,0.18428630193336074,FALSE,FALSE,not_member
GNA11,0.185020981619139,0.24210992238677073,6,0.7041773231031543,0.24210992238677073,0,0.1928071928071928,0.1928071928071928,empirical,NA,NA,NA,0.3257776706052568,0.3257776706052568,0.1928071928071928,0.3257776706052568,FALSE,FALSE,not_member
DHX15,0.1832856307112798,0.1595688438697557,6,0.726768968456948,0.1595688438697557,0,0.03696303696303696,0.03696303696303696,empirical,NA,NA,NA,0.11499611499611499,0.11499611499611499,0.03696303696303696,0.11499611499611499,FALSE,FALSE,not_member
PLCG2,0.18285628343128935,0.1331228845861379,6,0.6466325660699063,0.1331228845861379,0,0.13786213786213786,0.13786213786213786,empirical,NA,NA,NA,0.26107226107226106,0.26107226107226106,0.13786213786213786,0.26107226107226106,FALSE,FALSE,not_member
BCL6,0.18225021580224166,0.15867890893050374,6,0.684995737425405,0.15867890893050374,0.16666666666666666,0.12487512487512488,0.12487512487512488,empirical,NA,NA,NA,0.24475524475524477,0.24475524475524477,0.12487512487512488,0.24475524475524477,FALSE,FALSE,not_member
GOPC,0.18139309166445,0.21480245122150765,6,0.6300085251491901,0.21480245122150765,0,0.21178821178821178,0.21178821178821178,empirical,NA,NA,NA,0.3444853901285436,0.3444853901285436,0.21178821178821178,0.3444853901285436,FALSE,FALSE,not_member
APEX1,0.1791371861970953,0.13865347512062756,6,0.5946291560102301,0.13865347512062756,0,0.2007992007992008,0.2007992007992008,empirical,NA,NA,NA,0.33495015622675195,0.33495015622675195,0.2007992007992008,0.33495015622675195,FALSE,FALSE,not_member
SOCS3,0.16974060797028573,0.20058924584212687,6,0.6743393009377664,0.20058924584212687,0,0.17882117882117882,0.17882117882117882,empirical,NA,NA,NA,0.3115462315462315,0.3115462315462315,0.17882117882117882,0.3115462315462315,FALSE,FALSE,not_member
MLH1,0.16953472290265276,0.20483125128674734,6,0.8069053708439897,0.20483125128674734,0.16666666666666666,0.05094905094905095,0.05094905094905095,empirical,NA,NA,NA,0.13226508590747002,0.13226508590747002,0.05094905094905095,0.13226508590747002,FALSE,FALSE,not_member
ARID1B,0.16901092492695405,0.13984664115034853,6,0.6743393009377664,0.13984664115034853,0,0.1008991008991009,0.1008991008991009,empirical,NA,NA,NA,0.21038535932152955,0.21038535932152955,0.1008991008991009,0.21038535932152955,FALSE,FALSE,not_member
CTLA4,0.1658264939866521,0.20232835844426172,6,0.7280477408354646,0.20232835844426172,0.16666666666666666,0.12487512487512488,0.12487512487512488,empirical,NA,NA,NA,0.24475524475524477,0.24475524475524477,0.12487512487512488,0.24475524475524477,FALSE,FALSE,not_member
PRPF8,0.1635697454613958,0.18494290199816646,6,0.6739130434782609,0.18494290199816646,0,0.15284715284715283,0.15284715284715283,empirical,NA,NA,NA,0.2761109857884051,0.2761109857884051,0.15284715284715283,0.2761109857884051,FALSE,FALSE,not_member
BRD8,0.15849274423455523,0.20070839007262486,6,0.7421142369991475,0.20070839007262486,0,0.11388611388611389,0.11388611388611389,empirical,NA,NA,NA,0.23131272872205516,0.23131272872205516,0.11388611388611389,0.23131272872205516,FALSE,FALSE,not_member
BLM,0.15827918312371683,0.12486681226949782,6,0.5959079283887467,0.12486681226949782,0,0.14085914085914086,0.14085914085914086,empirical,NA,NA,NA,0.2623037340018472,0.2623037340018472,0.14085914085914086,0.2623037340018472,FALSE,FALSE,not_member
THRAP3,0.15818855970287932,0.2272250158562465,6,0.7067348678601876,0.2272250158562465,0,0.13486513486513488,0.13486513486513488,empirical,NA,NA,NA,0.25788845301040425,0.25788845301040425,0.13486513486513488,0.25788845301040425,FALSE,FALSE,not_member
EIF4E,0.15678088223726172,0.1571323413449645,6,0.644075021312873,0.1571323413449645,0.16666666666666666,0.13786213786213786,0.13786213786213786,empirical,NA,NA,NA,0.26107226107226106,0.26107226107226106,0.13786213786213786,0.26107226107226106,FALSE,FALSE,not_member
WWP1,0.1550632138800557,0.1059578827780288,6,0.5818414322250639,0.1059578827780288,0,0.20279720279720279,0.20279720279720279,empirical,NA,NA,NA,0.33684959108687923,0.33684959108687923,0.20279720279720279,0.33684959108687923,FALSE,FALSE,not_member
